branch|loan_number|loan_amount|
Fairfax|3.573784658411467E15|$144985.81|
Charlotte|3.538119906633006E15|$430459.16|
Raleigh|3.559939246058364E15|$158740.42|
Raleigh|3.537608818737757E15|$248287.74|
Reston|6.709905461321094E15|$131378.37|
Raleigh|3.580318237575806E15|$103120.44|
Raleigh|3.560574728459264E15|$384418.85|
Cleveland|4.026816115542707E15|$343840.95|
Raleigh|5.6418236920348088E18|$127898.56|
Reston|3.588929918451703E15|$100568.20|
Stow|5.038292094140678E15|$158512.30|
Durham|5.602215889047036E15|$80143.94|
Columbus|3.548575831537075E15|$319995.10|
Fairfax|6.7634058744367808E16|$301190.51|
Cinicinnati|5.602215710867286E18|$364347.52|
Tampa|3.574860050550224E15|$360406.37|
Tampa|3.564232782041546E15|$328803.72|
Tampa|5.048379927281718E15|$294162.33|
Durham|6.7613243285364848E16|$128280.86|
Charlotte|5.602256496957944E15|$426200.10|
Reston|3.585231214225508E15|$304953.15|
Durham|6.767548344352263E15|$436273.87|
Stow|3.0533379127057E13|$341077.53|
Stow|3.575083964294768E15|$150444.54|
Columbus|5.589895839076172E15|$305476.85|
Charlotte|3.587278102504385E15|$178014.24|
Columbus|5.0382994812966799E18|$264883.57|
Charlotte|3.559319881949286E15|$347946.38|
Tampa|6.759293264128068E15|$307841.45|
Charlotte|3.541792558931574E15|$276895.06|
State College|6.383209302039392E15|$149466.45|
Stow|4.04159380946E12|$182769.42|
Cinicinnati|2.01437319080249E14|$356880.88|
Columbus|4.903624554767894E15|$205831.87|
Charlotte|3.53646207337476E15|$245093.82|
Stow|3.580746878563378E15|$253569.56|
Columbus|4.01795258867432E15|$382375.77|
Durham|4.844614074372632E15|$439227.81|
Tampa|3.528433458203387E15|$282122.10|
State College|3.561803748849777E15|$89453.92|
Charlotte|5.602254735249975E15|$217452.42|
Raleigh|3.0141266584248E13|$192290.68|
Fairfax|4.508166108817931E15|$248586.36|
Tampa|5.007664805282634E15|$202986.24|
Cinicinnati|6.7629241686617098E18|$92828.42|
Stow|3.554705302214133E15|$101380.40|
Tampa|3.539872345536961E15|$122197.77|
Fairfax|3.6599368911508E13|$311373.88|
Durham|3.553245674947474E15|$236962.96|
Cinicinnati|3.554228789176188E15|$192261.39|
Charlotte|3.546164606484946E15|$237585.47|
Raleigh|2.01867111213277E14|$271811.58|
Columbus|6.7597977898408591E18|$331814.89|
Cinicinnati|3.583127741838726E15|$192457.97|
Charlotte|6.7591387721514516E18|$80073.94|
Durham|3.549401344957768E15|$276876.32|
Reston|3.529121478683816E15|$223643.54|
Charlotte|3.568149804676438E15|$327540.84|
Durham|5.610915291320364E15|$220786.67|
Reston|5.602243234412911E15|$291869.39|
Columbus|3.72301490750843E14|$281465.82|
Fairfax|3.53909750749312E15|$410148.53|
State College|3.02316118942E13|$208807.93|
Fairfax|3.576326335518327E15|$302250.07|
Columbus|3.54645627738656E15|$437688.64|
Charlotte|3.539444153790476E15|$369144.12|
Fairfax|3.56704951730197E15|$259969.21|
Cinicinnati|6.3042057003085926E18|$429200.81|
Cinicinnati|5.361784837094631E15|$119173.85|
Tampa|3.548076972194495E15|$367534.27|
Columbus|2.0195557358849E14|$123008.75|
State College|3.588889001253475E15|$449083.42|
Columbus|5.01012162616466E15|$305568.42|
Raleigh|4.9053011972720241E18|$225852.36|
Fairfax|4.913845793951621E15|$114729.61|
Cinicinnati|3.582311883648132E15|$367064.03|
Tampa|6.759814363410139E15|$158341.88|
Cleveland|3.531444101979393E15|$410816.25|
Stow|5.0385467445509284E18|$214010.72|
Charlotte|3.46517738011036E14|$284110.35|
Cinicinnati|5.602237389607788E15|$235661.32|
State College|5.100143735320802E15|$249589.10|
Charlotte|3.0107025298438E13|$313722.93|
Raleigh|5.8939265366925414E17|$420533.96|
Reston|2.01718660576756E14|$221208.12|
Cinicinnati|3.74288927852649E14|$188067.85|
Charlotte|3.540516037019169E15|$130837.79|
Cleveland|5.610796030080043E18|$208288.51|
Fairfax|3.56974481779981E15|$175186.30|
Stow|5.010120466388348E15|$122009.14|
Durham|2.0151255295764E14|$99745.80|
Charlotte|4.405699334306992E15|$443481.02|
Durham|3.0412397986671E13|$421041.85|
Charlotte|4.917898218964774E15|$181834.55|
Cleveland|5.8932699549158738E18|$292096.75|
Stow|3.585539088004191E15|$351002.53|
Raleigh|3.580319332831904E15|$135154.05|
Columbus|5.610737432626198E15|$228641.09|
Durham|5.524581333970429E15|$346437.32|
Columbus|3.544825700213975E15|$237077.69|
Columbus|3.535577812913403E15|$302425.66|
Tampa|3.587875720035708E15|$306013.78|
Columbus|5.108750038344396E15|$165328.85|
Cinicinnati|5.258634506923196E15|$224175.19|
Stow|3.54541520283402E15|$447763.03|
Stow|3.54570898130859E15|$365971.24|
Reston|3.528976578304402E15|$82454.78|
Cinicinnati|5.0189501030225952E17|$201344.86|
Durham|3.567696672582313E15|$275521.58|
Cinicinnati|3.561996124975628E15|$341720.11|
Stow|6.383851205218183E15|$275937.27|
Stow|3.588377530028469E15|$376476.35|
Stow|4.026013953090839E15|$363339.54|
Cinicinnati|4.017952432207897E15|$145736.55|
State College|3.539953959034715E15|$272545.78|
Tampa|6.3045908753324564E18|$142000.86|
Cinicinnati|5.610904312587748E15|$425466.77|
Tampa|2.01852576614771E14|$296661.25|
Durham|3.0018792915122E13|$351265.72|
Columbus|6.7631242094730854E18|$377419.72|
Charlotte|3.531725607800855E15|$216293.12|
Tampa|3.560414380512276E15|$270318.32|
State College|5.8937431835300595E17|$335638.29|
Raleigh|3.543583397437537E15|$133900.45|
Columbus|3.557860190190254E15|$383662.83|
Cleveland|3.575965613576225E15|$262456.84|
Stow|3.530841578888216E15|$100400.79|
Cinicinnati|3.6713446750891E13|$413823.63|
Fairfax|3.567321747562378E15|$215977.69|
Fairfax|3.542928139350392E15|$370659.18|
Cleveland|2.01990424818747E14|$204548.96|
Charlotte|5.602235827628473E15|$130391.20|
Stow|5.6105392462671085E17|$403063.71|
State College|5.641821867730304E18|$186067.75|
Cleveland|5.602253840232595E15|$176839.29|
Stow|5.6022250440119704E16|$427118.01|
Fairfax|3.0321940265881E13|$177423.43|
Durham|5.120778820759459E15|$347057.27|
Columbus|5.100175086874227E15|$348592.36|
State College|3.6813114196888E13|$251599.67|
Columbus|6.7096151662038157E17|$378299.93|
Fairfax|5.602257666425647E15|$145510.53|
Stow|3.550026007805131E15|$165330.16|
Cleveland|3.584664246216247E15|$313963.79|
Cinicinnati|2.01912253891157E14|$224723.85|
State College|3.583063473
